x,y,z,mg_ca,std,rstd
-23.3366,-10.632,-0.87687,0.344009846,0.030574327,0.088876314
-23.5366,-10.632,-0.88574,0.675936789,0.034241167,0.050657351
-23.7366,-10.632,-0.89461,0.679202418,0.08782764,0.129309963
-23.9366,-10.632,-0.90348,0.380650223,0.032827935,0.086241732
-24.1366,-10.632,-0.91235,0.234140004,0.010834677,0.04627435
-24.3366,-10.632,-0.92122,0.240722624,0.010916444,0.045348641
-24.9366,-10.432,-0.95083,0.666718623,0.061575931,0.092356699
-24.7366,-10.432,-0.94196,0.431939565,0.011470846,0.026556599
-24.5366,-10.432,-0.9331,0.318472522,0.023247192,0.072995912
-24.3366,-10.432,-0.92423,0.317186454,0.007823263,0.024664556
-24.1366,-10.432,-0.91536,0.319996703,0.013579241,0.042435565
-23.9366,-10.432,-0.90649,0.423040183,0.013942138,0.032957005
-23.7366,-10.432,-0.89762,0.698074338,0.045137021,0.064659333
-23.5366,-10.432,-0.88875,0.687016346,0.075022971,0.109201144
-23.3366,-10.432,-0.87988,0.367268007,0.02071775,0.05641044
-23.1366,-10.432,-0.87101,0.383490558,0.041526299,0.108285063
-22.9366,-10.432,-0.86214,0.373733151,0.013646619,0.03651434
-22.7366,-10.432,-0.85328,0.386296998,0.020102824,0.052039813
-22.3366,-10.232,-0.83855,0.391924705,0.011499275,0.02934052
-22.5366,-10.232,-0.84742,0.384009318,0.016873252,0.043939693
-22.7366,-10.232,-0.85629,0.425837891,0.015574865,0.036574634
-22.9366,-10.232,-0.86516,0.32086996,0.016352199,0.050962076
-23.1366,-10.232,-0.87402,0.389385893,0.026240289,0.067388906
-23.3366,-10.232,-0.88289,0.369549444,0.013841967,0.037456332
-23.5366,-10.232,-0.89176,0.237751133,0.009800404,0.041221271
-23.7366,-10.232,-0.90063,0.72994632,0.077712967,0.106463948
-23.9366,-10.232,-0.9095,0.604507855,0.051906729,0.085866095
-24.1366,-10.232,-0.91837,0.502765664,0.050204857,0.099857371
-24.3366,-10.232,-0.92724,0.335275537,0.013796192,0.041148817
-24.5366,-10.232,-0.93611,0.271096063,0.025075817,0.092497902
-24.7366,-10.232,-0.94498,0.377571509,0.033882877,0.089738966
