x,y,z,mg_ca,std,rstd
25.5211,0.9869,2.714309446,0.501290968,0.099520312,0.198528038
25.42134,0.99378,2.715783317,0.518938905,0.245539354,0.473156573
25.32157,1.00066,2.717257359,0.417204534,0.040731149,0.097628731
25.22181,1.00755,2.718730897,0.296856263,0.038635512,0.130148886
25.12205,1.01443,2.720204768,0.29668896,0.038237742,0.128881579
25.02229,1.02131,2.721678639,0.264991924,0.021644972,0.081681628
24.92252,1.02819,2.72315268,0.391480406,0.086332414,0.220528059
24.82276,1.03508,2.724626218,0.413957138,0.118152716,0.285422584
24.723,1.04196,2.726100089,0.338010881,0.03790825,0.112150976
24.62323,1.04884,2.727574131,0.35173798,0.029936802,0.085111088
24.52347,1.05572,2.729048002,0.300241604,0.040043902,0.133372263
24.42371,1.0626,2.730521873,0.383873693,0.054361138,0.141612042
24.32395,1.06949,2.73199541,0.242741321,0.013539187,0.055776195
24.22418,1.07637,2.733469452,0.321677704,0.042706497,0.132761755
24.12442,1.08325,2.734943323,0.289484214,0.019510624,0.067397886
24.02466,1.09013,2.736417194,0.220366948,0.015323119,0.069534562
23.92489,1.09702,2.737890903,0.232605045,0.01296008,0.055717108
23.82513,1.1039,2.739364773,0.219654642,0.014247709,0.064864138
23.72537,1.11078,2.740838644,0.235361794,0.008254955,0.035073472
23.6256,1.11766,2.742312686,0.218126593,0.0087296,0.040020795
23.52584,1.12454,2.743786557,0.205715754,0.009983118,0.0485287
23.42608,1.13143,2.745260095,0.197039229,0.009382602,0.047617939
23.32632,1.13831,2.746733966,0.224225167,0.014327709,0.063898754
23.22655,1.14519,2.748208007,0.211077143,0.014207783,0.067310856
23.12679,1.15207,2.749681878,0.226313583,0.01414034,0.062481183
23.02703,1.15895,2.751155749,0.230510552,0.013924666,0.060407934
22.92726,1.16584,2.752629458,0.235548953,0.01113509,0.047272935
22.8275,1.17272,2.754103329,0.222028308,0.013885021,0.062537165
22.72774,1.1796,2.7555772,0.219403442,0.008949221,0.040788881
22.62798,1.18648,2.757051071,0.212691693,0.016372552,0.076977865
22.52821,1.19337,2.758524779,0.209885744,0.021088834,0.100477687
