x,y,z,mg_ca,std,rstd
-20.24085,4.64885,3.81333,0.242824844,0.017405479,0.071679154
-20.24085,4.49885,3.81515,0.271843819,0.063221948,0.23256717
-20.24085,4.34885,3.81697,0.31363893,0.019312373,0.061575177
-20.24085,2.39885,3.84064,0.31867002,0.052367405,0.164331132
-20.24085,2.24885,3.84246,0.304774558,0.02827356,0.092768768
-20.09085,2.24885,3.83823,0.249032468,0.028213249,0.113291449
-20.09085,2.39885,3.83641,0.252045058,0.03138667,0.124528014
-20.09085,2.54885,3.83459,0.271822848,0.03002279,0.110449841
-20.09085,2.69885,3.83277,0.275292645,0.036708755,0.133344481
-20.09085,2.84885,3.83095,0.249680013,0.031459216,0.125998134
-20.09085,2.99885,3.82913,0.343357339,0.377432614,1.099241435
-20.09085,4.04885,3.81638,0.462008644,0.098319675,0.212809168
-20.09085,4.19885,3.81456,0.218368125,0.02896257,0.132631859
-20.09085,4.34885,3.81274,0.293697989,0.093561845,0.318564812
-20.09085,4.49885,3.81092,0.227274986,0.028575831,0.125732406
-20.09085,4.64885,3.8091,0.207519454,0.049804426,0.239998828
-20.09085,4.79885,3.80728,0.21250258,0.048923179,0.230223929
-20.09085,4.94885,3.80546,0.219982012,0.026822243,0.121929258
-20.09085,5.09885,3.80364,0.235318163,0.04213257,0.179045127
-19.94085,5.39885,3.79576,0.212835598,0.023929516,0.112431925
-19.94085,5.24885,3.79758,0.220189099,0.04108849,0.186605469
-19.94085,5.09885,3.79941,0.203586264,0.025164117,0.123604198
-19.94085,4.94885,3.80123,0.218386334,0.055873804,0.255848444
-19.94085,4.79885,3.80305,0.226706328,0.060174381,0.265428766
-19.94085,4.64885,3.80487,0.213258267,0.021353438,0.100129473
-19.94085,4.49885,3.80669,0.214756343,0.036155089,0.168353999
-19.94085,4.34885,3.80851,0.261825653,0.028627001,0.109336118
-19.94085,4.19885,3.81033,0.281325738,0.063368286,0.225248802
-19.94085,4.04885,3.81215,0.338418302,0.061627426,0.182104295
-19.94085,3.89885,3.81397,0.394075026,0.122184502,0.310053908
-19.94085,3.74885,3.81579,0.510820114,0.13787764,0.269914274
-19.94085,3.59885,3.81762,0.250309568,0.048083537,0.19209628
-19.94085,3.44885,3.81944,0.433220055,0.075888419,0.175172913
-19.94085,3.29885,3.82126,0.27429304,0.01776405,0.064763035
-19.94085,3.14885,3.82308,0.308567676,0.023972952,0.077691066
-19.94085,2.99885,3.8249,0.252271728,0.083886367,0.332523855
-19.94085,2.84885,3.82672,0.446304359,0.078098148,0.17498854
-19.94085,2.69885,3.82854,0.241012397,0.047089462,0.195381906
-19.94085,2.54885,3.83036,0.276531539,0.073655836,0.266356007
-19.94085,2.39885,3.83218,0.247723853,0.045017344,0.181723899
-19.94085,2.24885,3.834,0.250595247,0.047157998,0.188183929
-19.79085,2.24885,3.82977,0.481621996,0.069863268,0.1450583
-19.79085,2.39885,3.82795,0.233666793,0.041429011,0.177299524
-19.79085,2.54885,3.82613,0.242336468,0.03880227,0.160117337
-19.79085,2.69885,3.82431,0.214325464,0.044350137,0.206928921
-19.79085,2.84885,3.82249,0.288783067,0.035254997,0.122081247
-19.79085,2.99885,3.82067,0.238661228,0.039790214,0.166722574
-19.79085,3.14885,3.81885,0.229923022,0.034787993,0.151302782
-19.79085,3.29885,3.81703,0.251108047,0.061836375,0.246254054
-19.79085,3.44885,3.81521,0.233575231,0.050403884,0.215792934
-19.79085,3.59885,3.81339,0.371995835,0.0914314,0.245786086
-19.79085,3.74885,3.81156,0.596121512,0.172607563,0.289550971
-19.79085,3.89885,3.80974,0.479180019,0.059497884,0.124166037
-19.79085,4.04885,3.80792,0.382887111,0.088099024,0.230091381
-19.79085,4.19885,3.8061,0.500767191,0.110578498,0.220818177
-19.79085,4.34885,3.80428,0.492711566,0.150941067,0.306347724
-19.79085,4.49885,3.80246,0.229197027,0.038178819,0.166576414
-19.79085,4.64885,3.80064,0.238540234,0.041117048,0.172369447
-19.79085,4.79885,3.79882,0.244144075,0.015979674,0.065451822
-19.79085,4.94885,3.797,0.227562779,0.021711212,0.095407572
-19.79085,5.09885,3.79518,0.233760603,0.016883898,0.072227302
-19.79085,5.24885,3.79335,0.247039813,0.045523539,0.184276123
-19.79085,5.39885,3.79153,0.206858922,0.014853828,0.071806564
-19.64085,5.39885,3.7873,0.212898942,0.010650786,0.050027425
-19.64085,5.24885,3.78912,0.208626472,0.028659561,0.137372599
-19.64085,5.09885,3.79095,0.254410784,0.044427791,0.174630142
-19.64085,4.94885,3.79277,0.227949642,0.047863649,0.209974663
-19.64085,4.79885,3.79459,0.212507117,0.02889337,0.135964246
-19.64085,4.64885,3.79641,0.220165461,0.016836224,0.076470776
-19.64085,4.49885,3.79823,0.255748381,0.09345373,0.365412791
-19.64085,4.34885,3.80005,0.450072939,0.103875027,0.230795984
-19.64085,4.19885,3.80187,0.363195011,0.081780233,0.225168933
-19.64085,4.04885,3.80369,0.312370213,0.046184488,0.147851768
-19.64085,3.89885,3.80551,0.31504412,0.081942342,0.26009799
-19.64085,3.74885,3.80733,0.385891963,0.056414053,0.146191314
-19.64085,3.59885,3.80916,0.324275142,0.055621912,0.171526906
-19.64085,3.44885,3.81098,0.338798295,0.04731206,0.139646688
-19.64085,3.29885,3.8128,0.255588686,0.074212035,0.290357277
-19.64085,3.14885,3.81462,0.247255794,0.039494981,0.159733288
-19.64085,2.99885,3.81644,0.234702264,0.021954193,0.093540608
-19.64085,2.84885,3.81826,0.243326247,0.043063792,0.176979643
-19.64085,2.69885,3.82008,0.190883014,0.03490241,0.182847123
-19.64085,2.54885,3.8219,0.20153974,0.039990724,0.198426
-19.64085,2.39885,3.82372,0.247887724,0.030171383,0.121713906
-19.64085,2.24885,3.82554,0.279470118,0.059305058,0.212205362
-19.49085,2.24885,3.82131,0.263202715,0.072262108,0.274549252
-19.49085,2.39885,3.81949,0.23362738,0.039814674,0.170419554
-19.49085,2.54885,3.81767,0.219944637,0.029191364,0.132721417
-19.49085,2.69885,3.81585,0.205137023,0.041610385,0.202841905
-19.49085,2.84885,3.81403,0.292780821,0.099741113,0.340668191
-19.49085,2.99885,3.81221,0.208259441,0.042326883,0.203241124
-19.49085,3.14885,3.81039,0.248841003,0.030473841,0.122463101
-19.49085,3.29885,3.80857,0.345546327,0.035691989,0.103291472
-19.49085,3.44885,3.80675,0.285716951,0.024972135,0.087401657
-19.49085,3.59885,3.80493,0.305029218,0.05067172,0.166120873
-19.49085,3.74885,3.8031,0.412002366,0.084256384,0.204504613
-19.49085,3.89885,3.80128,0.445985561,0.038087613,0.085401
-19.49085,4.04885,3.79946,0.414011182,0.068396166,0.165203667
-19.49085,4.19885,3.79764,0.447215779,0.135724328,0.303487341
-19.49085,4.34885,3.79582,0.326453957,0.099144721,0.303702003
-19.49085,4.49885,3.794,0.228241488,0.025702712,0.112611918
-19.49085,4.64885,3.79218,0.209289488,0.031015021,0.148191969
-19.49085,4.79885,3.79036,0.217142487,0.040109829,0.184716633
-19.49085,4.94885,3.78854,0.225413569,0.050123566,0.222362681
-19.49085,5.09885,3.78672,0.23572909,0.014743575,0.06254457
-19.49085,5.24885,3.78489,0.200557355,0.030852728,0.153834937
-19.49085,5.39885,3.78307,0.200652459,0.012316388,0.061381694
-19.34085,5.39885,3.77884,0.199042907,0.00918014,0.046121413
-19.34085,5.24885,3.78066,0.203393204,0.038815775,0.190841063
-19.34085,5.09885,3.78249,0.206142778,0.028209772,0.136845792
-19.34085,4.94885,3.78431,0.235021708,0.024777898,0.105428123
-19.34085,4.79885,3.78613,0.232928769,0.048577864,0.208552444
-19.34085,4.64885,3.78795,0.232751193,0.047071389,0.202239086
-19.34085,4.49885,3.78977,0.33177105,0.074403691,0.224262157
-19.34085,4.34885,3.79159,0.34718316,0.09724802,0.28010581
-19.34085,4.19885,3.79341,0.346456054,0.108911274,0.31435812
-19.34085,4.04885,3.79523,0.325106038,0.043456786,0.133669576
-19.34085,3.89885,3.79705,0.329387423,0.052446,0.159222837
-19.34085,3.74885,3.79887,0.329302804,0.079525578,0.241496813
-19.34085,3.59885,3.8007,0.293806597,0.049389231,0.168101163
-19.34085,3.44885,3.80252,0.245763868,0.035508847,0.144483593
-19.34085,3.29885,3.80434,0.375645315,0.041801618,0.111279488
-19.34085,3.14885,3.80616,0.216150581,0.044620072,0.206430496
-19.34085,2.99885,3.80798,0.218105554,0.031943748,0.146460041
-19.34085,2.84885,3.8098,0.339678246,0.087437149,0.257411684
-19.34085,2.69885,3.81162,0.24013129,0.034256748,0.142658411
-19.34085,2.54885,3.81344,0.224205171,0.029625765,0.132136851
-19.34085,2.39885,3.81526,0.231996959,0.028672131,0.123588393
-19.34085,2.24885,3.81708,0.271042257,0.04818137,0.177763313
-19.19085,2.24885,3.81285,0.472491701,0.068048622,0.144020778
-19.19085,2.39885,3.81103,0.254186867,0.033742132,0.132745377
-19.19085,2.54885,3.80921,0.428732163,0.089551686,0.208875595
-19.19085,2.69885,3.80739,0.229021998,0.040060895,0.174921601
-19.19085,2.84885,3.80557,0.451350234,0.093793904,0.207807368
-19.19085,2.99885,3.80375,0.272141902,0.031817608,0.116915505
-19.19085,3.14885,3.80193,0.258881474,0.02634623,0.101769468
-19.19085,3.29885,3.80011,0.287132021,0.039511611,0.137607819
-19.19085,3.44885,3.79829,0.267642436,0.036262181,0.135487412
-19.19085,3.59885,3.79647,0.275966922,0.031777256,0.115148785
-19.19085,3.74885,3.79464,0.266099133,0.049113649,0.184568991
-19.19085,3.89885,3.79282,0.240691242,0.032851645,0.136488743
-19.19085,4.04885,3.791,0.407356137,0.086646287,0.212704019
-19.19085,4.19885,3.78918,0.39090378,0.091305288,0.233574841
-19.19085,4.34885,3.78736,0.472200359,0.111643416,0.236432298
-19.19085,4.49885,3.78554,0.409381796,0.087763917,0.214381583
-19.19085,4.64885,3.78372,0.254109533,0.026623798,0.10477292
-19.19085,4.79885,3.7819,0.262814133,0.029715791,0.113067706
-19.19085,4.94885,3.78008,0.29156539,0.037948011,0.13015266
-19.19085,5.09885,3.77826,0.229478004,0.062173547,0.270934668
-19.19085,5.24885,3.77643,0.27618372,0.032141666,0.116377843
-19.04085,5.24885,3.7722,0.215786127,0.02713276,0.12573913
-19.04085,5.09885,3.77403,0.22588608,0.031577961,0.139795956
-19.04085,4.94885,3.77585,0.267156932,0.036578591,0.136917994
-19.04085,4.79885,3.77767,0.191579476,0.040507655,0.211440472
-19.04085,4.64885,3.77949,0.239218964,0.036564179,0.15284816
-19.04085,4.49885,3.78131,0.739913239,0.369240897,0.499032695
-19.04085,4.34885,3.78313,0.732733973,0.270686358,0.369419692
-19.04085,4.19885,3.78495,0.750917385,0.288606118,0.384338043
-19.04085,4.04885,3.78677,0.225579516,0.012027084,0.053316382
-19.04085,3.89885,3.78859,0.249395665,0.019740059,0.079151571
-19.04085,3.74885,3.79041,0.307817835,0.034668779,0.112627585
-19.04085,3.59885,3.79223,0.294740113,0.03518599,0.119379712
-19.04085,3.44885,3.79406,0.252905359,0.031737698,0.125492388
-19.04085,3.29885,3.79588,0.260302673,0.026130956,0.100386813
-19.04085,3.14885,3.7977,0.460467828,0.164639631,0.357548609
-19.04085,2.99885,3.79952,0.228408853,0.030257446,0.132470549
-19.04085,2.84885,3.80134,0.375529273,0.102558387,0.273103574
-19.04085,2.69885,3.80316,0.256088926,0.054862008,0.214230301
-19.04085,2.54885,3.80498,0.220492622,0.043508714,0.197325033
-19.04085,2.39885,3.8068,0.295987617,0.04615134,0.155923212
-19.04085,2.24885,3.80862,0.307018907,0.056104144,0.1827384
-18.89085,2.24885,3.80439,0.238795851,0.045597928,0.190949415
-18.89085,2.39885,3.80257,0.258349231,0.027925199,0.108090891
-18.89085,2.54885,3.80075,0.228432537,0.033850335,0.148185258
-18.89085,2.69885,3.79893,0.209701567,0.043331377,0.206633541
-18.89085,2.84885,3.79711,0.247076067,0.03320756,0.134402172
-18.89085,2.99885,3.79529,0.241312773,0.046122146,0.191130149
-18.89085,3.14885,3.79347,0.332694828,0.05468712,0.164376226
-18.89085,3.29885,3.79165,0.24565789,0.048557258,0.197662114
-18.89085,3.44885,3.78983,0.26035206,0.046208376,0.177484194
-18.89085,3.59885,3.788,0.317691092,0.041373305,0.130231242
-18.89085,3.74885,3.78618,0.396911037,0.097527931,0.245717356
