x,y,z,mg_ca,std,rstd
-19.9942,5.4466,3.796688682,0.230824114,0.016659665,0.072174714
-19.96428,5.44442,3.795871379,0.203871157,0.016911956,0.082954139
-19.93436,5.44224,3.795054077,0.165801312,0.011740284,0.070809354
-19.90444,5.44006,3.794236774,0.175218785,0.017014741,0.09710569
-19.87452,5.43788,3.793419471,0.189195187,0.015419939,0.08150281
-19.8446,5.4357,3.792602169,0.187903981,0.019578742,0.104195462
-19.81468,5.43351,3.791784987,0.190418297,0.006310246,0.033138863
-19.78476,5.43133,3.790967685,0.204163621,0.011112075,0.054427304
-19.75484,5.42915,3.790150382,0.19689879,0.006023691,0.03059283
-19.72491,5.42697,3.789332797,0.188739094,0.009987152,0.052915119
-19.69499,5.42479,3.788515495,0.197098626,0.010011264,0.050793172
-19.66507,5.42261,3.787698192,0.206416908,0.030833796,0.14937631
-19.63515,5.42043,3.786880889,0.204174461,0.013140273,0.064358066
-19.60523,5.41825,3.786063587,0.190611284,0.017919611,0.094011282
-19.57531,5.41607,3.785246284,0.182265949,0.009877002,0.054190057
-19.54539,5.41389,3.784428981,0.191462874,0.029222541,0.152627713
-19.51547,5.4117,3.7836118,0.195883588,0.010676681,0.054505234
-19.48555,5.40952,3.782794498,0.184507729,0.022404288,0.121427367
-19.45563,5.40734,3.781977195,0.189234678,0.023786842,0.125700226
-19.42571,5.40516,3.781159892,0.201101332,0.019803105,0.098473269
-19.39579,5.40298,3.78034259,0.193151515,0.017339605,0.089772038
-19.36587,5.4008,3.779525287,0.202083295,0.008550536,0.042311937
-19.33595,5.39862,3.778707984,0.206048036,0.009058735,0.043964189
-19.30603,5.39644,3.777890682,0.21014015,0.00765766,0.036440725
-19.27611,5.39426,3.777073379,0.197878801,0.0221483,0.111928615
-19.24618,5.39208,3.776255794,0.191118592,0.01129844,0.059117433
-19.21626,5.3899,3.775438492,0.19478324,0.016037498,0.082335103
-19.18634,5.38771,3.77462131,0.199205209,0.008573543,0.043038751
-19.15642,5.38553,3.773804008,0.197237543,0.007481188,0.037929837
-19.1265,5.38335,3.772986705,0.20345998,0.006934306,0.034081915
-19.09658,5.38117,3.772169402,0.205278562,0.016894476,0.082300245
-19.06666,5.37899,3.7713521,0.201728533,0.011990751,0.059440033
-19.03674,5.37681,3.770534797,0.214743937,0.03751194,0.174682184
-19.00682,5.37463,3.769717494,0.204086421,0.008682645,0.042543963
-18.9769,5.37245,3.768900192,0.215995729,0.010018876,0.046384604
-18.94698,5.37027,3.768082889,0.209118662,0.015638506,0.074782931
-18.91706,5.36809,3.767265586,0.21271878,0.021079751,0.099096801
-18.88714,5.36591,3.766448284,0.195884712,0.010319448,0.052681232
-18.85722,5.36372,3.765631102,0.206577419,0.017872751,0.086518418
-18.8273,5.36154,3.7648138,0.206900433,0.018028378,0.087135527
-18.79738,5.35936,3.763996497,0.230839427,0.039713071,0.172037641
-18.76745,5.35718,3.763178913,0.20952213,0.011451798,0.054656745
-18.73753,5.355,3.76236161,0.212256148,0.017780976,0.083771311
-18.70761,5.35282,3.761544307,0.208070831,0.010444214,0.050195475
-18.67769,5.35064,3.760727005,0.199604347,0.016160252,0.080961425
-18.64777,5.34846,3.759909702,0.195347243,0.009387459,0.04805524
-18.61785,5.34628,3.759092399,0.207370481,0.023148784,0.111630082
-18.58793,5.3441,3.758275097,0.205749419,0.014809004,0.07197592
-18.55801,5.34191,3.757457915,0.202708384,0.007016625,0.03461438
-18.52809,5.33973,3.756640613,0.209249693,0.012362657,0.059080883
-18.49817,5.33755,3.75582331,0.204740026,0.009253996,0.045198766
-18.46825,5.33537,3.755006007,0.212584106,0.010365371,0.04875892
-18.43833,5.33319,3.754188705,0.203226075,0.010058557,0.04949442
-18.40841,5.33101,3.753371402,0.20217949,0.007937104,0.039257712
-18.37849,5.32883,3.752554099,0.209313116,0.016295357,0.077851579
-18.34857,5.32665,3.751736797,0.204769293,0.00906664,0.044277343
-18.31865,5.32447,3.750919494,0.210724366,0.018686113,0.088675616
-18.28872,5.32229,3.750101909,0.209668176,0.011601169,0.055331093
-18.2588,5.32011,3.749284607,0.206999411,0.006617262,0.03196754
-18.22888,5.31792,3.748467425,0.206419067,0.005028185,0.024359111
-18.19896,5.31574,3.747650123,0.20628586,0.012697636,0.061553592
-18.16904,5.31356,3.74683282,0.219506181,0.010948206,0.049876526
-18.13912,5.31138,3.746015517,0.195420158,0.006264283,0.032055458
-18.1092,5.3092,3.745198215,0.194203689,0.006803352,0.035032041
-18.07928,5.30702,3.744380912,0.202618333,0.012871508,0.06352588
-18.04936,5.30484,3.743563609,0.205943974,0.010610465,0.051521124
-18.01944,5.30266,3.742746307,0.21065522,0.015990516,0.075908473
-17.98952,5.30048,3.741929004,0.212979061,0.005749398,0.026995133
-17.9596,5.2983,3.741111702,0.221775007,0.011164986,0.050343755
-17.92968,5.29612,3.740294399,0.239188463,0.011114235,0.046466436
-17.89976,5.29393,3.739477218,0.222996224,0.023032839,0.10328802
-17.86984,5.29175,3.738659915,0.233927804,0.010111007,0.043222766
-17.83992,5.28957,3.737842612,0.237142771,0.013529212,0.057050916
-17.80999,5.28739,3.737025028,0.242528776,0.009663786,0.039845937
-17.78007,5.28521,3.736207725,0.22002744,0.011132218,0.050594682
-17.75015,5.28303,3.735390422,0.237261656,0.011603931,0.048907739
-17.72023,5.28085,3.73457312,0.243134717,0.014632797,0.060183906
-17.69031,5.27867,3.733755817,0.238096056,0.017243462,0.07242229
-17.66039,5.27649,3.732938514,0.246320213,0.009058014,0.036773328
-17.63047,5.27431,3.732121212,0.254756723,0.01693553,0.066477263
-17.60055,5.27212,3.73130403,0.256229368,0.017953496,0.070068066
-17.57063,5.26994,3.730486728,0.253494948,0.017005453,0.067083993
-17.54071,5.26776,3.729669425,0.256448251,0.020126854,0.078483102
-17.51079,5.26558,3.728852122,0.271036165,0.025296177,0.093331372
-17.48087,5.2634,3.72803482,0.2766707,0.019373808,0.070024792
-17.45095,5.26122,3.727217517,0.282442537,0.030968444,0.109645115
-17.42103,5.25904,3.726400214,0.268933477,0.013248585,0.049263428
-17.39111,5.25686,3.725582912,0.265337054,0.025610664,0.096521249
-17.36119,5.25468,3.724765609,0.253667846,0.031395354,0.123765604
-17.33126,5.2525,3.723948024,0.263860151,0.024789977,0.093951198
-17.30134,5.25032,3.723130722,0.251243139,0.018819784,0.074906658
-17.27142,5.24813,3.722313541,0.256445213,0.01081634,0.042177976
-17.2415,5.24595,3.721496238,0.260902976,0.016143982,0.061877338
-17.21158,5.24377,3.720678935,0.26290704,0.017894189,0.068062799
-17.18166,5.24159,3.719861633,0.26031123,0.009378341,0.036027416
-17.15174,5.23941,3.71904433,0.258716169,0.024971088,0.096519241
-17.12182,5.23723,3.718227027,0.248836952,0.022408299,0.090052136
-17.0919,5.23505,3.717409725,0.241229484,0.021985043,0.091137464
-17.06198,5.23287,3.716592422,0.268218433,0.013625854,0.050801335
-17.03206,5.23069,3.715775119,0.240230482,0.012898352,0.053691571
-17.00214,5.22851,3.714957817,0.287305483,0.020987475,0.073049336
-16.97222,5.22633,3.714140514,0.283218631,0.01970159,0.069563184
-16.9423,5.22414,3.713323333,0.273796106,0.025762571,0.094094
-16.91238,5.22196,3.71250603,0.293019525,0.028677442,0.097868705
-16.88246,5.21978,3.711688727,0.314185532,0.031334535,0.099732585
-16.85253,5.2176,3.710871143,0.296319537,0.019412527,0.065512138
-16.82261,5.21542,3.71005384,0.311702262,0.026605711,0.08535617
-16.79269,5.21324,3.709236537,0.28127971,0.023772111,0.084514135
-16.76277,5.21106,3.708419235,0.276321286,0.03476965,0.125830514
-16.73285,5.20888,3.707601932,0.286676622,0.014501638,0.050585353
-16.70293,5.2067,3.706784629,0.288595029,0.028764544,0.099670963
-16.67301,5.20452,3.705967327,0.331182534,0.054665159,0.165060513
-16.64309,5.20233,3.705150146,0.3071964,0.061266959,0.199439054
-16.61317,5.20015,3.704332843,0.330447835,0.039642639,0.119966407
-16.58325,5.19797,3.70351554,0.324219595,0.030448558,0.093913379
-16.55333,5.19579,3.702698238,0.284702453,0.02365877,0.083099986
-16.52341,5.19361,3.701880935,0.287564681,0.026841265,0.093339922
-16.49349,5.19143,3.701063632,0.276468301,0.018037865,0.065243883
-16.46357,5.18925,3.70024633,0.301765057,0.022499405,0.074559344
-16.43365,5.18707,3.699429027,0.300118317,0.012989293,0.043280575
-16.40373,5.18489,3.698611724,0.308868008,0.024701119,0.079973059
-16.3738,5.18271,3.69779414,0.325268954,0.050480822,0.155197173
-16.34388,5.18053,3.696976837,0.342685476,0.036960769,0.107856246
-16.31396,5.17834,3.696159656,0.311357688,0.029448688,0.094581535
-16.28404,5.17616,3.695342353,0.343374589,0.039330575,0.114541308
-16.25412,5.17398,3.69452505,0.338424827,0.02195456,0.064872782
-16.2242,5.1718,3.693707748,0.347528933,0.030410845,0.087505936
-16.19428,5.16962,3.692890445,0.351883563,0.013953679,0.039654252
-16.16436,5.16744,3.692073142,0.351730628,0.018715587,0.053210001
-16.13444,5.16526,3.69125584,0.359229908,0.063463112,0.176664332
-16.10452,5.16308,3.690438537,0.366362453,0.041685504,0.113782139
-16.0746,5.1609,3.689621234,0.354794951,0.023392105,0.065931335
-16.04468,5.15872,3.688803932,0.421487214,0.074399359,0.176516289
-16.01476,5.15653,3.68798675,0.387918471,0.024635005,0.063505626
-15.98484,5.15435,3.687169448,0.429877519,0.06036109,0.140414624
-15.95492,5.15217,3.686352145,0.429448204,0.040009454,0.093164794
-15.925,5.14999,3.685534842,0.370417637,0.027428106,0.074046437
-15.89508,5.14781,3.68471754,0.355920368,0.061162784,0.171844013
-15.86515,5.14563,3.683899955,0.336781227,0.024409898,0.072479984
-15.83523,5.14345,3.683082653,0.392430056,0.02876806,0.073307483
-15.80531,5.14127,3.68226535,0.375801755,0.040544296,0.107887458
-15.77539,5.13909,3.681448047,0.323985928,0.028934116,0.089306707
-15.74547,5.13691,3.680630745,0.255425329,0.015261548,0.059749549
-15.71555,5.13473,3.679813442,0.284589685,0.030406619,0.106843714
-15.68563,5.13254,3.678996261,0.245011581,0.044547001,0.181815898
-15.65571,5.13036,3.678178958,0.232464739,0.022335733,0.096082242
-15.62579,5.12818,3.677361655,0.227893448,0.027020584,0.118566743
-15.59587,5.126,3.676544353,0.241575061,0.024588878,0.101785666
-15.56595,5.12382,3.67572705,0.222637686,0.014669746,0.065890667
-15.53603,5.12164,3.674909747,0.215862263,0.014770861,0.06842725
-15.50611,5.11946,3.674092445,0.215665539,0.009174654,0.042541124
-15.47619,5.11728,3.673275142,0.207207359,0.01077383,0.051995405
-15.44627,5.1151,3.672457839,0.205933929,0.017125457,0.083159957
